 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,StdDev,Median,Slice
1,mNG_pilU_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,1060,255,255,255,57.860380000000006,50.61226,4,1202,341.79035,410832.0,123,1676,177.17823,281.78144,201.67803,137,292.09489,40017.0,117,567,114.99859,1,0,350.1592100000001,253.40044,137,568.0438,77822.0,78,1676,420.78957,3,0,1.36216,mNG_pilU_fliC-,Liquid,1.0,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event19_tirf_RAW_Stack.tif,955,255,255,255,,,4,1086,319.112,346556.0,103,2013,234.312,228.226,237.329,112,233.902,26197.0,134,291,46.298,2,0,298.23,275.841,112,569.714,63808.0,107,2013,536.302,0,0,1.35,mNG_pilU_fliC-,Liquid,1.0,0.0,255.0,1.0
1,mNG_pilU_fliC-_liq_Gasket_0_event20_tirf_RAW_Stack.tif,1118,255,255,255,,,4,1261,219.67,277004.0,86,757,88.149,370.701,187.305,137,212.467,29108.0,86,313,65.491,0,0,450.706,226.872,137,246.86900000000003,33821.0,50,757,194.265,3,0,1.0590000000000002,mNG_pilU_fliC-,Liquid,1.0,0.0,255.0,1.0
1,mNG_pilU_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,870,255,255,255,53.26436999999999,28.15747,4,971,286.1709600000001,277872.0,105,441,81.68936,372.9488,362.27001,137,205.90511,28209.0,83,286,63.2854,0,0,307.03007,376.63318,137,287.58394,39399.0,116,441,89.79786,2,0,0.81793,mNG_pilU_fliC-,Liquid,1.0,,,
2,mNG_pilU_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,1298,255,255,255,52.49923,75.40524,4,1470,565.08027,830668.0,182,2273,308.71895,218.54361,170.76926,97,563.72165,54681.0,256,877,159.3414,3,0,270.38651,266.26868,97,1094.2989699999996,106147.0,186,2273,705.0837,3,0,1.57921,mNG_pilU_fliC-,Liquid,2.0,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event6_tirf_RAW_Stack.tif,749,255,255,255,59.44526,21.61615,4,845,474.76331,401175.0,188,1560,257.82828,368.10245,145.44369,97,390.83505,37911.0,135,675,140.41766,6,0,429.88556,149.72723,97,837.38144,81226.0,172,1560,458.43707,3,0,1.41748,mNG_pilU_fliC-,Liquid,1.0,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event8_tirf_RAW_Stack.tif,941,255,255,255,58.9017,34.29596,4,1056,306.76136,323940.0,121,843,118.28911,244.09794,282.7299799999999,137,350.55474,48026.0,96,741,179.22139,2,0,176.96854,258.08899,137,406.65693,55712.0,156,843,183.02039,0,0,1.34454,mNG_pilU_fliC-,Liquid,1.0,,,
1,mNG_pilU_fliC-_sol_Gasket_0_event10_tirf_RAW_Stack.tif,709,255,255,255,24.9048,49.81735,4,791,274.05057,216774.0,102,738,100.04333,277.28601000000003,298.70786,137,246.22628,33733.0,43,537,132.98778,2,0,282.09517,247.2333,137,364.47445,49933.0,99,738,163.63194,3,0,1.186,mNG_pilU_fliC-,Solid,1.0,,,
1,mNG_pilU_fliC-_sol_Gasket_0_event11_tirf_RAW_Stack.tif,850,255,255,255,37.38353,53.10471,4,957,217.18077,207842.0,81,405,62.95764000000001,260.69804,274.31071000000003,156,206.37821,32195.0,84,405,78.92343000000002,1,0,296.62094,226.18337,156,222.75,34749.0,70,395,84.73767,2,0,0.98223,mNG_pilU_fliC-,Solid,1.0,,,
1,mNG_pilU_fliC-_sol_Gasket_0_event12_tirf_RAW_Stack.tif,852,255,255,255,41.00117,51.50117,4,962,235.78067,226821.0,71,464,69.17004,257.19879,282.84725,137,232.64234,31872.0,67,424,103.17324,2,0,220.6892,232.23352000000003,137,246.42336,33760.0,59,464,97.0118,2,0,1.02239,mNG_pilU_fliC-,Solid,1.0,,,
