 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,StdDev,Median,Slice
4,mNG_pilT_fliC-_liq_Gasket_0_event26_tirf_RAW_Stack.tif,585,255,255,255,27.17521,30.40085,1,670,118.11343,79136.0,71,165,22.1555,49.84987,406.55905,112,108.77679,12183.0,67,142,23.185,0,0,80.83301999999998,440.72885,112,120.36607,13481.0,63,165,26.89486,0,0,0.95562,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event27_tirf_RAW_Stack.tif,890,255,255,255,21.77079,45.73933,1,1005,282.76318,284177.0,132,698,80.21264000000002,309.84275,463.29372,137,224.57664,30767.0,91,351,65.42539000000001,0,0,283.30404,395.64861,137,346.29197,47442.0,121,698,138.06873000000002,2,0,1.01303,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event27_tirf_RAW_Stack.tif,589,255,255,255,27.18081,33.24024,1,670,285.9089600000001,191559.0,151,416,62.71793,271.80461,253.24957,137,248.15328,33997.0,130,361,58.96433,0,0,250.83529,290.54751,137,253.36496,34711.0,83,392,96.07387,0,0,0.8083,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event28_tirf_RAW_Stack.tif,516,255,255,255,28.8062,23.00581,1,592,148.74493,88057.0,77,245,33.40037,106.66777,319.66754,112,147.58036,16529.0,83,213,39.97491,1,0,137.51793999999998,345.10769,112,158.90178999999995,17797.0,70,245,51.12535,0,0,1.04954,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event29_tirf_RAW_Stack.tif,630,255,255,255,9.45556,41.69206,1,707,243.15559,171911.0,143,476,50.02494,258.34317000000004,265.72378,112,203.08036,22745.0,94,261,49.44068,0,0,258.36377000000005,316.2739,112,269.16071,30146.0,108,476,97.91737,0,0,0.95821,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event29_tirf_RAW_Stack.tif,443,255,255,255,20.74379,26.16817,1,506,183.05929,92628.0,91,309,41.94901,161.07151000000005,106.80961,112,154.07143,17256.0,83,196,32.756190000000004,0,0,140.48913000000002,82.56271,112,191.0,21392.0,91,309,59.84951,0,0,0.90135,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event3_tirf_RAW_Stack.tif,549,255,255,255,11.83333,38.8224,1,621,309.7649,192364.0,179,652,72.68646,293.66336,235.38624,97,290.56701,28185.0,120,455,87.45069000000002,2,0,296.01731,283.69348,97,343.89691,33358.0,140,652,148.47787,1,0,1.03545,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event3_tirf_RAW_Stack.tif,828,255,255,255,28.97101,37.84541,1,936,309.88141,290049.0,168,453,70.86735,303.72197,385.24131,156,249.48718,38920.0,110,360,70.83097,0,0,269.04429,333.2489700000001,156,293.78205,45830.0,146,443,80.9065,0,0,0.82563,mNG_pilT_fliC-,Liquid,,,,
3,mNG_pilT_fliC-_liq_Gasket_0_event3_tirf_RAW_Stack.tif,655,255,255,255,34.2374,24.12748,1,751,132.95206000000002,99847.0,57,236,32.3112,175.90334,151.20855,112,115.48214,12934.0,34,184,38.16229000000001,0,0,127.44368,179.66724,112,143.21428999999995,16040.0,49,236,51.17598,0,0,0.96181,mNG_pilT_fliC-,Liquid,,,,
4,mNG_pilT_fliC-_liq_Gasket_0_event3_tirf_RAW_Stack.tif,736,255,255,255,39.16168,28.92799,1,834,178.56595,148924.0,98,251,40.56073,44.39428,174.69082,156,146.53205,22859.0,63,206,40.53313,0,0,89.6683,206.21934,156,166.50641000000005,25975.0,55,248,57.75136,0,0,0.8163,mNG_pilT_fliC-,Liquid,,,,
5,mNG_pilT_fliC-_liq_Gasket_0_event3_tirf_RAW_Stack.tif,639,255,255,255,29.34351,28.98983,1,727,159.96561,116295.0,76,287,38.54892,490.12556,116.04475,137,142.0073,19455.0,63,202,38.81053,1,0,453.68211,147.73408,137,159.94891,21913.0,56,287,64.39793,0,0,0.9128,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event30_tirf_RAW_Stack.tif,833,255,255,255,40.41717,20.37875,1,935,535.72834,500906.0,252,1112,135.99533,230.8756,270.50732,137,461.54745,63232.0,243,618,108.75742,0,0,287.9969200000001,248.16778,137,612.32847,83889.0,252,1112,216.8868,1,0,1.0032,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,376,255,255,255,19.39096,19.22606,1,435,188.9931,82212.0,113,278,44.51999,195.72449,126.64067,97,151.81443000000004,14726.0,85,206,31.94961,0,0,175.45658,106.19728,97,206.05155,19987.0,106,278,49.15566,0,0,0.90787,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,446,255,255,255,25.02466,23.10538,1,514,190.40856,97870.0,96,406,56.5856,122.46199,300.51223,112,166.66071000000005,18666.0,94,218,35.41226,0,0,144.24196,274.24295,112,231.64286,25944.0,105,406,89.77266999999998,0,0,1.08438,mNG_pilT_fliC-,Liquid,,,,
3,mNG_pilT_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,468,255,255,255,27.7906,16.681620000000002,1,528,264.56818,139692.0,154,347,52.21459,195.8048,241.33957,112,236.08036,26441.0,150,311,43.66233,0,0,226.34835,250.11612,112,246.85714,27648.0,135,325,54.96532,0,0,0.8575200000000001,mNG_pilT_fliC-,Liquid,,,,
4,mNG_pilT_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,393,255,255,255,30.00891,12.82824,1,447,244.0604,109095.0,135,375,51.52455,188.12231,297.91939,97,233.72165,22671.0,132,335,50.30444,1,0,219.82767,302.4253,97,247.41237,23999.0,104,375,82.6337,0,0,0.97499,mNG_pilT_fliC-,Liquid,,,,
5,mNG_pilT_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,654,255,255,255,35.20795,14.93119,1,737,261.35142,192616.0,121,350,57.1192,353.3341200000001,110.98349,156,242.22436,37787.0,96,344,77.95264,0,0,307.24853,123.47866,156,252.46795,39385.0,114,350,68.88667,0,0,0.91059,mNG_pilT_fliC-,Liquid,,,,
6,mNG_pilT_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,609,255,255,255,35.46388,19.17488,1,687,240.28384,165075.0,133,364,55.05446,379.06233,477.98343,137,206.76642,28327.0,122,305,52.473,0,0,336.8932200000001,463.14299000000005,137,235.79562,32304.0,90,346,68.9209,1,0,0.8750100000000001,mNG_pilT_fliC-,Liquid,,,,
7,mNG_pilT_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,517,255,255,255,28.72244,27.73598,1,594,179.43939,106587.0,81,274,36.46982,175.66122,406.36984,112,172.22321000000005,19289.0,72,270,53.8193,0,0,205.40278,433.62871,112,183.42857,20544.0,81,274,52.03165,0,0,0.98564,mNG_pilT_fliC-,Liquid,,,,
8,mNG_pilT_fliC-_liq_Gasket_0_event4_tirf_RAW_Stack.tif,773,255,255,255,32.59961,32.17917,1,873,202.37686,176675.0,102,371,49.3501,188.79235,451.75673,156,165.51282,25820.0,72,242,46.81983,1,0,150.22086000000004,413.22583,156,227.48077,35487.0,104,371,72.64536,1,0,0.95551,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event5_tirf_RAW_Stack.tif,494,255,255,255,34.30364,13.18016,1,558,188.46057,105161.0,104,364,48.213,191.36122,168.36312,156,154.37179,24082.0,70,226,41.05342,1,0,223.72059,176.29933,156,223.79487000000003,34912.0,105,364,68.61428000000001,0,0,1.00753,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event5_tirf_RAW_Stack.tif,390,255,255,255,26.31538,21.75641,1,446,269.84529,120351.0,152,364,55.31065,309.4602,171.79943,112,240.32143,26916.0,123,338,60.9345,0,0,329.4392,188.32194,112,257.625,28854.0,141,328,54.32603,0,0,0.8558600000000001,mNG_pilT_fliC-,Liquid,,,,
3,mNG_pilT_fliC-_liq_Gasket_0_event5_tirf_RAW_Stack.tif,381,255,255,255,20.96982,20.01706,1,437,289.86957,126673.0,139,414,69.65804,358.39245,323.36487,112,237.15179,26561.0,137,343,53.45356,0,0,379.49164,306.49034,112,271.29464,30385.0,145,369,61.34258000000001,0,0,0.77659,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event6_tirf_RAW_Stack.tif,501,255,255,255,12.69561,33.3523,1,566,204.4841,115738.0,104,402,51.57449,155.80542,251.75301,112,192.80357,21594.0,83,261,49.75106,0,0,161.92945,289.29039,112,227.58036,25489.0,89,402,88.19191,1,0,1.04706,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event6_tirf_RAW_Stack.tif,710,255,255,255,18.94225,43.97746,1,795,338.7937100000001,269341.0,178,457,70.63398000000002,371.48522,277.7621,137,283.72263,38870.0,134,393,68.81088000000001,0,0,383.55814,226.24807,137,316.38686,43345.0,131,451,89.90405,0,0,0.83542,mNG_pilT_fliC-,Liquid,,,,
3,mNG_pilT_fliC-_liq_Gasket_0_event6_tirf_RAW_Stack.tif,484,255,255,255,26.97314,24.07438,1,554,197.86282,109616.0,88,368,52.87786,135.34445,197.15631,112,167.08928999999995,18714.0,99,228,40.61455,1,0,157.30745,167.58386000000004,112,225.5625,25263.0,99,368,77.38727,0,0,0.98703,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event7_tirf_RAW_Stack.tif,810,255,255,255,39.52346,28.44568,1,920,194.81413,179229.0,100,393,46.97689,165.53893,403.63934,137,182.0219,24937.0,74,310,65.10901,0,0,110.57763,371.16343,137,213.45255,29243.0,108,393,73.78107,1,0,1.02151,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event7_tirf_RAW_Stack.tif,473,255,255,255,25.28858,26.91226,1,542,207.33395,112375.0,110,339,45.07432,283.90325,341.15507,112,179.16071000000005,20066.0,96,231,38.42075,0,0,307.33878,367.63016,112,212.125,23758.0,101,339,66.37487,1,0,0.90756,mNG_pilT_fliC-,Liquid,,,,
